Zip,YEAR,INCOME,NUMBER
91901,2010,"Less than $15,000",370
91901,2010,"$15,000 to $29,999",723
91901,2010,"$30,000 to $44,999",701
91901,2010,"$45,000 to $59,999",569
91901,2010,"$60,000 to $74,999",560
91901,2010,"$75,000 to $99,999",839
91901,2010,"$100,000 to $124,999",636
91901,2010,"$125,000 to $149,999",427
91901,2010,"$150,000 to $199,999",843
91901,2010,"$200,000 or more",548
91902,2010,"Less than $15,000",215
91902,2010,"$15,000 to $29,999",482
91902,2010,"$30,000 to $44,999",498
91902,2010,"$45,000 to $59,999",870
91902,2010,"$60,000 to $74,999",754
91902,2010,"$75,000 to $99,999",930
91902,2010,"$100,000 to $124,999",712
91902,2010,"$125,000 to $149,999",306
91902,2010,"$150,000 to $199,999",457
91902,2010,"$200,000 or more",494
91905,2010,"Less than $15,000",81
91905,2010,"$15,000 to $29,999",77
91905,2010,"$30,000 to $44,999",83
91905,2010,"$45,000 to $59,999",105
91905,2010,"$60,000 to $74,999",48
91905,2010,"$75,000 to $99,999",108
91905,2010,"$100,000 to $124,999",52
91905,2010,"$125,000 to $149,999",25
91905,2010,"$150,000 to $199,999",14
91905,2010,"$200,000 or more",7
91906,2010,"Less than $15,000",186
91906,2010,"$15,000 to $29,999",177
91906,2010,"$30,000 to $44,999",188
91906,2010,"$45,000 to $59,999",213
91906,2010,"$60,000 to $74,999",106
91906,2010,"$75,000 to $99,999",230
91906,2010,"$100,000 to $124,999",126
91906,2010,"$125,000 to $149,999",58
91906,2010,"$150,000 to $199,999",41
91906,2010,"$200,000 or more",22
91910,2010,"Less than $15,000",3052
91910,2010,"$15,000 to $29,999",3808
91910,2010,"$30,000 to $44,999",4125
91910,2010,"$45,000 to $59,999",3393
91910,2010,"$60,000 to $74,999",2858
91910,2010,"$75,000 to $99,999",3376
91910,2010,"$100,000 to $124,999",2092
91910,2010,"$125,000 to $149,999",1355
91910,2010,"$150,000 to $199,999",1376
91910,2010,"$200,000 or more",737
91911,2010,"Less than $15,000",2645
91911,2010,"$15,000 to $29,999",4337
91911,2010,"$30,000 to $44,999",4145
91911,2010,"$45,000 to $59,999",3322
91911,2010,"$60,000 to $74,999",2721
91911,2010,"$75,000 to $99,999",3285
91911,2010,"$100,000 to $124,999",1677
91911,2010,"$125,000 to $149,999",1244
91911,2010,"$150,000 to $199,999",839
91911,2010,"$200,000 or more",336
91913,2010,"Less than $15,000",636
91913,2010,"$15,000 to $29,999",910
91913,2010,"$30,000 to $44,999",993
91913,2010,"$45,000 to $59,999",1060
91913,2010,"$60,000 to $74,999",1354
91913,2010,"$75,000 to $99,999",2363
91913,2010,"$100,000 to $124,999",1913
91913,2010,"$125,000 to $149,999",1119
91913,2010,"$150,000 to $199,999",1144
91913,2010,"$200,000 or more",640
91914,2010,"Less than $15,000",245
91914,2010,"$15,000 to $29,999",232
91914,2010,"$30,000 to $44,999",302
91914,2010,"$45,000 to $59,999",284
91914,2010,"$60,000 to $74,999",434
91914,2010,"$75,000 to $99,999",760
91914,2010,"$100,000 to $124,999",503
91914,2010,"$125,000 to $149,999",407
91914,2010,"$150,000 to $199,999",619
91914,2010,"$200,000 or more",605
91915,2010,"Less than $15,000",114
91915,2010,"$15,000 to $29,999",370
91915,2010,"$30,000 to $44,999",412
91915,2010,"$45,000 to $59,999",514
